id,count,type,name
532,4,O,alarmnummer
533,1,O,unknown
534,1,O,Martin Krasser
535,11,O,rossputin
536,1,O,Viktor Klang
537,3,O,Johan Rask
538,3,O,Johan Rask
539,6,O,Michael Kober
540,12,O,ross.mcdonald
541,3,O,Staffan Fransson
542,20,O,Eckart Hertzler
543,73,O,jboner
544,45,O,jboner
545,1,O,jboner
546,3,O,jboner
547,2,O,jboner
548,1,O,jboner
549,1,O,jboner
550,2,O,jboner
551,2,O,jboner
552,5,O,jboner
553,2,O,jboner
554,2,O,jboner
555,1,O,jboner
556,2,O,jboner
557,1,O,jboner
558,1,O,jboner
559,2,O,jboner
560,1,O,jboner
561,1,O,jboner
562,2,O,jboner
563,3,O,jboner
564,9,O,jboner
565,4,O,jboner
566,2,O,jboner
567,5,O,jboner
568,7,O,jboner
569,3,O,jboner
570,1,O,Sergio Bossa
571,2,O,jboner
572,2,O,jboner
573,2,O,jboner
574,1,O,jboner
575,7,O,jboner
