PQID,CMT,UNM,CAT
918,1,Philip Kaufmann,M
919,1,Philip Kaufmann,M
921,2,Gavin Andresen,M
933,6,Ivan De Marino,M
949,1,Philip Kaufmann,M
959,1,Pieter Wuille,M
961,3,execjosh,M
964,4,Gavin Andresen,M
965,1,Pieter Wuille,M
966,2,Pieter Wuille,M
968,1,Gavin Andresen,M
969,1,Pieter Wuille,M
970,1,Pieter Wuille,M
973,1,Gavin Andresen,M
974,1,Philip Kaufmann,M
976,1,Gavin Andresen,M
977,1,Pieter Wuille,M
978,1,Gavin Andresen,M
979,3,Gavin Andresen,M
980,1,Gavin Andresen,M
982,1,Gavin Andresen,M
984,4,Ivan De Marino,M
985,2,Ivan De Marino,M
987,1,Ivan De Marino,M
988,1,Ivan De Marino,M
989,1,Gavin Andresen,M
991,1,Philip Kaufmann,M
999,1,Luke-Jr,M
1000,1,Ivan De Marino,M
1007,1,Pieter Wuille,M
1009,1,Ivan De Marino,M
1010,1,Gavin Andresen,M
1012,1,Gavin Andresen,M
1014,1,Gavin Andresen,M
1015,1,Gavin Andresen,M
1016,1,Ivan De Marino,M
1019,2,Luke-Jr,M
1027,1,Gavin Andresen,M
1030,1,Gavin Andresen,M
1032,2,Pieter Wuille,M
1033,1,Ivan De Marino,M
1034,2,Pieter Wuille,M
1035,1,Philip Kaufmann,M
1036,5,Pieter Wuille,M
1037,1,Gavin Andresen,M
1038,2,execjosh,M
1039,2,execjosh,M
1040,1,Pieter Wuille,M
1042,1,Pieter Wuille,M
1044,1,Eric Lombrozo,M
1045,1,Philip Kaufmann,M
1046,2,execjosh,M
1050,1,Philip Kaufmann,M
1053,1,Philip Kaufmann,M
1054,15,execjosh,M
1056,1,Eric Lombrozo,M
1057,6,Gavin Andresen,M
1058,1,execjosh,M
1060,6,Ivan De Marino,M
1064,6,Gavin Andresen,M
1068,1,Philip Kaufmann,M
1071,1,Philip Kaufmann,M
1075,1,Pieter Wuille,M
1078,1,Eric Lombrozo,M
1084,2,Gavin Andresen,M
1086,1,Philip Kaufmann,M
1088,2,Gavin Andresen,M
1089,1,Ivan De Marino,M
1090,2,Philip Kaufmann,M
1093,1,Philip Kaufmann,M
1094,1,Ivan De Marino,M
1095,1,Philip Kaufmann,M
1100,1,Philip Kaufmann,M
1103,1,Philip Kaufmann,M
1107,2,execjosh,M
1109,1,Ivan De Marino,M
1111,1,Gavin Andresen,M
1113,4,Ivan De Marino,M
1114,1,Pieter Wuille,M
1119,2,Ivan De Marino,M
1126,1,Philip Kaufmann,M
1128,5,Ivan De Marino,M
1130,2,Ivan De Marino,M
1132,3,execjosh,M
1133,2,execjosh,M
1136,13,execjosh,M
1138,3,execjosh,M
1140,1,execjosh,M
1142,2,execjosh,M
1145,9,execjosh,M
1150,3,Ivan De Marino,M
1154,1,Ivan De Marino,M
1156,3,Ivan De Marino,M
1160,1,Ivan De Marino,M
1161,4,Ivan De Marino,M
1163,1,Ivan De Marino,M
1165,1,Ivan De Marino,M
1170,11,Ivan De Marino,M
1188,4,Ivan De Marino,M
1189,12,Keegan McAllister,M
1190,2,Ivan De Marino,M
1191,2,Ivan De Marino,M
1193,1,Ivan De Marino,M
1195,28,Ivan De Marino,M
1197,6,Keegan McAllister,M
1199,5,Ivan De Marino,M
1200,1,Keegan McAllister,M
1202,1,Keegan McAllister,M
1204,4,Keegan McAllister,M
1210,2,Ivan De Marino,M
1217,16,Ivan De Marino,M
1224,1,Ivan De Marino,M
1225,1,Keegan McAllister,M
1226,6,Ivan De Marino,M
1227,1,Keegan McAllister,M
1229,1,Keegan McAllister,M
1231,1,Keegan McAllister,M
1236,1,Ivan De Marino,M
1239,1,Keegan McAllister,M
1240,1,Keegan McAllister,M
1243,2,Keegan McAllister,M
1248,2,Ivan De Marino,M
1253,15,Ivan De Marino,M
1257,4,Keegan McAllister,M
1260,15,Keegan McAllister,M
1262,7,Ivan De Marino,M
1264,8,Ivan De Marino,M
1265,1,Ivan De Marino,M
1267,1,Ivan De Marino,M
1274,1,Gavin Andresen,M
1276,1,Keegan McAllister,M
1286,1,Philip Kaufmann,M
1289,9,Keegan McAllister,M
1290,1,Philip Kaufmann,M
1291,1,Philip Kaufmann,M
1292,1,Pieter Wuille,M
1299,3,Pieter Wuille,M
1300,5,Keegan McAllister,M
1302,22,Winston Chang,M
1303,1,Keegan McAllister,M
1304,1,Gavin Andresen,M
1306,1,Philip Kaufmann,M
1307,1,Keegan McAllister,M
1308,1,Philip Kaufmann,M
1314,2,Keegan McAllister,M
1315,2,Keegan McAllister,M
1317,1,Keegan McAllister,M
1319,1,Keegan McAllister,M
1323,5,Keegan McAllister,M
1327,1,Keegan McAllister,M
1328,2,Keegan McAllister,M
1329,1,Gavin Andresen,M
1333,1,Keegan McAllister,M
1334,1,Pieter Wuille,M
1337,1,Keegan McAllister,M
1339,1,Keegan McAllister,M
1340,4,Keegan McAllister,M
1341,1,Pieter Wuille,M
1342,2,Keegan McAllister,M
1343,2,Keegan McAllister,M
1345,4,Keegan McAllister,M
1346,1,Philip Kaufmann,M
1347,1,Philip Kaufmann,M
1349,1,Philip Kaufmann,M
1362,15,Winston Chang,M
1365,1,Philip Kaufmann,M
1366,2,Philip Kaufmann,M
1370,1,Philip Kaufmann,M
1371,1,Gavin Andresen,M
1374,22,Gavin Andresen,M
1375,8,Winston Chang,M
1383,1,Philip Kaufmann,M
1386,1,Philip Kaufmann,M
1387,1,Pieter Wuille,M
1388,8,Pieter Wuille,M
1391,1,Pieter Wuille,M
1392,1,Philip Kaufmann,M
1396,2,Pieter Wuille,M
1398,1,Philip Kaufmann,M
1400,1,Philip Kaufmann,M
1401,2,Luke-Jr,M
1402,1,Luke-Jr,M
1403,1,Pieter Wuille,M
1405,1,Gavin Andresen,M
1408,1,Philip Kaufmann,M
1410,1,Philip Kaufmann,M
1411,1,Philip Kaufmann,M
1412,1,Philip Kaufmann,M
1415,1,Luke-Jr,M
1416,1,Pieter Wuille,M
1417,1,Luke-Jr,M
1418,1,Philip Kaufmann,M
1419,1,Philip Kaufmann,M
1420,1,Pieter Wuille,M
1421,1,Pieter Wuille,M
1423,1,Philip Kaufmann,M
1427,1,Philip Kaufmann,M
1428,1,Philip Kaufmann,M
1430,1,Philip Kaufmann,M
1434,1,Philip Kaufmann,M
1441,1,Pieter Wuille,M
1442,1,Pieter Wuille,M
1443,1,Pieter Wuille,M
1444,1,Pieter Wuille,M
1445,1,Philip Kaufmann,M
1446,1,Philip Kaufmann,M
1448,1,Pieter Wuille,M
1449,1,Pieter Wuille,M
1450,1,Pieter Wuille,M
1454,1,Pieter Wuille,M
1455,2,Pieter Wuille,M
1456,1,Philip Kaufmann,M
1460,1,Philip Kaufmann,M
1463,5,Pieter Wuille,M
1467,1,Philip Kaufmann,M
1468,1,Philip Kaufmann,M
1470,1,Pieter Wuille,M
1471,1,Pieter Wuille,M
1472,30,Pieter Wuille,M
1473,1,Pieter Wuille,M
1475,1,Luke-Jr,M
1476,1,Luke-Jr,M
1483,2,Philip Kaufmann,M
1486,1,Gavin Andresen,M
1488,1,Philip Kaufmann,M
1489,1,Philip Kaufmann,M
1490,1,Pieter Wuille,M
1491,1,Philip Kaufmann,M
1492,1,Philip Kaufmann,M
1493,1,Gavin Andresen,M
1501,1,Philip Kaufmann,M
1504,1,Philip Kaufmann,M
1505,1,Philip Kaufmann,M
1509,1,Philip Kaufmann,M
1511,1,Pieter Wuille,M
1514,1,Pieter Wuille,M
1515,22,Luke-Jr,M
1524,1,Philip Kaufmann,M
1530,1,Philip Kaufmann,M
1531,1,Philip Kaufmann,M
1532,1,Philip Kaufmann,M
1536,1,Gavin Andresen,M
1538,1,Philip Kaufmann,M
1539,1,Philip Kaufmann,M
1546,1,Gavin Andresen,M
1550,1,Pieter Wuille,M
1551,1,Gavin Andresen,M
1552,4,Gavin Andresen,M
1555,1,Luke-Jr,M
1557,1,Philip Kaufmann,M
1563,1,Luke-Jr,M
1564,1,Luke-Jr,M
1565,1,Luke-Jr,M
1566,1,Philip Kaufmann,M
1568,1,Luke-Jr,M
1572,1,Philip Kaufmann,M
1574,1,Philip Kaufmann,M
1575,1,Philip Kaufmann,M
1578,2,Gavin Andresen,M
1581,1,Philip Kaufmann,M
1587,1,Philip Kaufmann,M
1590,3,Luke-Jr,M
1592,1,Luke-Jr,M
1594,1,Philip Kaufmann,M
1595,1,Philip Kaufmann,M
1598,1,Philip Kaufmann,M
1601,1,Philip Kaufmann,M
1604,1,Pieter Wuille,M
1606,2,Gavin Andresen,M
1608,1,Pieter Wuille,M
1615,1,Philip Kaufmann,M
1616,1,Philip Kaufmann,M
1617,1,Luke-Jr,M
1619,2,Gavin Andresen,M
1624,1,Philip Kaufmann,M
1625,1,Pieter Wuille,M
1629,1,Pieter Wuille,M
1639,1,Pieter Wuille,M
1640,1,Pieter Wuille,M
1642,1,Philip Kaufmann,M
1644,1,Gavin Andresen,M
1645,1,Gavin Andresen,M
1646,1,Gavin Andresen,M
1647,1,Philip Kaufmann,M
1648,1,Philip Kaufmann,M
1652,1,Philip Kaufmann,M
1653,1,Philip Kaufmann,M
1654,1,Philip Kaufmann,M
1656,1,Philip Kaufmann,M
1658,24,Luke-Jr,M
1666,1,Philip Kaufmann,M
1667,1,Philip Kaufmann,M
1668,3,Luke-Jr,M
1669,1,Philip Kaufmann,M
1670,4,Luke-Jr,M
1671,3,Winston Chang,M
1672,1,Philip Kaufmann,M
1675,2,Philip Kaufmann,M
1676,1,Philip Kaufmann,M
1679,1,Gavin Andresen,M
1684,1,Philip Kaufmann,M
1685,1,Philip Kaufmann,M
1687,1,Luke-Jr,M
1690,1,Philip Kaufmann,M
1691,1,Philip Kaufmann,M
1694,1,Luke-Jr,M
1695,1,Philip Kaufmann,M
1700,2,Gavin Andresen,M
1702,1,Philip Kaufmann,M
1703,1,Philip Kaufmann,M
1708,1,Philip Kaufmann,M
1709,1,Philip Kaufmann,M
1710,1,Philip Kaufmann,M
1711,2,Gavin Andresen,M
1712,1,Philip Kaufmann,M
1713,1,Philip Kaufmann,M
1714,2,Luke-Jr,M
1715,1,Philip Kaufmann,M
1716,1,Philip Kaufmann,M
1718,1,Philip Kaufmann,M
1722,1,Philip Kaufmann,M
1723,1,Philip Kaufmann,M
1725,1,Philip Kaufmann,M
1726,1,Pieter Wuille,M
1727,1,Philip Kaufmann,M
1730,1,Philip Kaufmann,M
1737,1,Philip Kaufmann,M
1744,1,Philip Kaufmann,M
91859,32,Scott Clasen @scottclasen,O
91860,29,Scott Clasen @scottclasen,O
91861,32,Scott Clasen @scottclasen,O
91862,1,Scott Clasen @scottclasen,O
91863,3,Scott Clasen @scottclasen,O
91864,8,Scott Clasen @scottclasen,O
91869,4,Derek Williams,O
91870,2,Derek Williams,O
91871,22,Derek Williams,O
91872,8,Derek Williams,O
91873,38,Derek Williams,O
91874,15,Derek Williams,O
91875,3,Derek Williams,O
91876,17,Derek Williams,O
91877,15,Derek Williams,O
91878,2,Derek Williams,O
91879,1,Derek Williams,O
91880,3,Derek Williams,O
91881,21,Derek Williams,O
91882,2,Derek Williams,O
91891,10,Viktor Klang (√),O
91892,6,Viktor Klang (√),O
91893,5,Viktor Klang (√),O
91894,7,Viktor Klang (√),O
91895,5,Viktor Klang (√),O
91896,31,Viktor Klang (√),O
91897,30,Viktor Klang (√),O
91898,17,Viktor Klang (√),O
91899,28,Viktor Klang (√),O
91900,27,Viktor Klang (√),O
91901,29,Viktor Klang (√),O
91902,12,Viktor Klang (√),O
91903,12,Viktor Klang (√),O
91904,106,Viktor Klang (√),O
91905,115,Viktor Klang (√),O
91906,101,Viktor Klang (√),O
91907,59,Viktor Klang (√),O
91908,30,Viktor Klang (√),O
91909,39,Viktor Klang (√),O
91910,27,Viktor Klang (√),O
91911,114,Viktor Klang (√),O
91912,66,Viktor Klang (√),O
91913,105,Viktor Klang (√),O
91914,50,Viktor Klang (√),O
91915,58,Viktor Klang (√),O
91916,41,Viktor Klang (√),O
91917,73,Viktor Klang (√),O
91918,132,Viktor Klang (√),O
91919,102,Viktor Klang (√),O
91920,192,Viktor Klang (√),O
91921,158,Viktor Klang (√),O
91922,140,Viktor Klang (√),O
91923,59,Viktor Klang (√),O
91924,104,Viktor Klang (√),O
91925,191,Viktor Klang (√),O
91926,179,Viktor Klang (√),O
91927,123,Viktor Klang (√),O
91928,88,Viktor Klang (√),O
91929,133,Viktor Klang (√),O
91930,94,Viktor Klang (√),O
91931,97,Viktor Klang (√),O
91932,59,Viktor Klang (√),O
91933,39,Viktor Klang (√),O
91934,18,Viktor Klang (√),O
91935,31,Viktor Klang (√),O
91936,46,Viktor Klang (√),O
91937,31,Viktor Klang (√),O
91938,22,Viktor Klang (√),O
91939,2,Viktor Klang (√),O
91940,4,Viktor Klang (√),O
91957,1,drewhk,O
91958,18,drewhk,O
91959,13,drewhk,O
91960,4,drewhk,O
91961,10,drewhk,O
91962,14,drewhk,O
91963,6,drewhk,O
91964,2,drewhk,O
91965,13,drewhk,O
91966,1,drewhk,O
91974,7,Jonas Bonér,O
91975,42,Jonas Bonér,O
91976,20,Jonas Bonér,O
91977,27,Jonas Bonér,O
91978,16,Jonas Bonér,O
91979,14,Jonas Bonér,O
91980,21,Jonas Bonér,O
91981,1,Jonas Bonér,O
91982,1,Jonas Bonér,O
91983,3,Jonas Bonér,O
91984,1,Jonas Bonér,O
91985,1,Jonas Bonér,O
91986,9,Jonas Bonér,O
91987,7,Jonas Bonér,O
91988,3,Jonas Bonér,O
91989,1,Jonas Bonér,O
91990,1,Jonas Bonér,O
91991,10,Jonas Bonér,O
91992,4,Jonas Bonér,O
91993,22,Jonas Bonér,O
91994,18,Jonas Bonér,O
91995,66,Jonas Bonér,O
91996,42,Jonas Bonér,O
91997,39,Jonas Bonér,O
91998,19,Jonas Bonér,O
91999,40,Jonas Bonér,O
92000,40,Jonas Bonér,O
92001,83,Jonas Bonér,O
92002,21,Jonas Bonér,O
92003,10,Jonas Bonér,O
92004,36,Jonas Bonér,O
92005,60,Jonas Bonér,O
92006,1,Jonas Bonér,O
92007,1,Jonas Bonér,O
92008,1,Jonas Bonér,O
92009,3,Jonas Bonér,O
92010,1,Jonas Bonér,O
92021,8,Peter Vlugter,O
92022,11,Peter Vlugter,O
92023,30,Peter Vlugter,O
92024,3,Peter Vlugter,O
92025,9,Peter Vlugter,O
92026,26,Peter Vlugter,O
92027,3,Peter Vlugter,O
92028,5,Peter Vlugter,O
92029,3,Peter Vlugter,O
92030,33,Peter Vlugter,O
92031,44,Peter Vlugter,O
92032,42,Peter Vlugter,O
92033,9,Peter Vlugter,O
92034,21,Peter Vlugter,O
92035,7,Peter Vlugter,O
92036,22,Peter Vlugter,O
92037,14,Peter Vlugter,O
92038,8,Peter Vlugter,O
92039,39,Peter Vlugter,O
92040,10,Peter Vlugter,O
92041,3,Peter Vlugter,O
92042,13,Peter Vlugter,O
92043,3,Peter Vlugter,O
92044,2,Peter Vlugter,O
92045,3,Peter Vlugter,O
92046,3,Peter Vlugter,O
92047,4,Peter Vlugter,O
92048,2,Peter Vlugter,O
92049,2,Peter Vlugter,O
92089,13,Piotr Gabryanczyk,O
92090,178,Piotr Gabryanczyk,O
92091,10,Piotr Gabryanczyk,O
92092,4,Piotr Gabryanczyk,O
92093,15,Piotr Gabryanczyk,O
92094,5,Piotr Gabryanczyk,O
92125,3,Roland Kuhn,O
92126,15,Roland Kuhn,O
92127,8,Roland Kuhn,O
92128,5,Roland Kuhn,O
92129,15,Roland Kuhn,O
92130,26,Roland Kuhn,O
92131,21,Roland Kuhn,O
92132,9,Roland Kuhn,O
92133,8,Roland Kuhn,O
92134,19,Roland Kuhn,O
92135,39,Roland Kuhn,O
92136,72,Roland Kuhn,O
92137,113,Roland Kuhn,O
92138,55,Roland Kuhn,O
92139,110,Roland Kuhn,O
92140,32,Roland Kuhn,O
92141,46,Roland Kuhn,O
92142,64,Roland Kuhn,O
92143,39,Roland Kuhn,O
92144,37,Roland Kuhn,O
92145,75,Roland Kuhn,O
92146,39,Roland Kuhn,O
92147,28,Roland Kuhn,O
92148,52,Roland Kuhn,O
92149,44,Roland Kuhn,O
92150,115,Roland Kuhn,O
92151,45,Roland Kuhn,O
92152,32,Roland Kuhn,O
92153,55,Roland Kuhn,O
92154,78,Roland Kuhn,O
92155,51,Roland Kuhn,O
92156,40,Roland Kuhn,O
92157,12,Roland Kuhn,O
92158,1,Roland Kuhn,O
92159,1,Roland Kuhn,O
92196,35,Patrik Nordwall,O
92197,107,Patrik Nordwall,O
92198,120,Patrik Nordwall,O
92199,45,Patrik Nordwall,O
92200,100,Patrik Nordwall,O
92201,123,Patrik Nordwall,O
92202,22,Patrik Nordwall,O
92203,87,Patrik Nordwall,O
92204,141,Patrik Nordwall,O
92205,84,Patrik Nordwall,O
92206,46,Patrik Nordwall,O
92207,42,Patrik Nordwall,O
92208,103,Patrik Nordwall,O
92209,94,Patrik Nordwall,O
92210,56,Patrik Nordwall,O
92211,92,Patrik Nordwall,O
92212,111,Patrik Nordwall,O
92213,24,Patrik Nordwall,O
92214,29,Patrik Nordwall,O
92215,57,Patrik Nordwall,O
92216,53,Patrik Nordwall,O
92217,1,Björn Antonsson,O
92218,1,Björn Antonsson,O
92219,24,Björn Antonsson,O
92220,33,Björn Antonsson,O
92221,3,Björn Antonsson,O
92222,36,Björn Antonsson,O
92223,38,Björn Antonsson,O
92224,24,Björn Antonsson,O
92225,27,Björn Antonsson,O
92226,13,Björn Antonsson,O
92227,17,Björn Antonsson,O
92228,55,Björn Antonsson,O
92229,48,Björn Antonsson,O
92230,35,Björn Antonsson,O
92231,48,Björn Antonsson,O
92232,13,Björn Antonsson,O
92233,19,Björn Antonsson,O
92234,21,Björn Antonsson,O
92235,23,Endre Sándor Varga,O
92236,23,Endre Sándor Varga,O
92237,11,Endre Sándor Varga,O
92238,24,Endre Sándor Varga,O
92239,14,Endre Sándor Varga,O
92240,2,Endre Sándor Varga,O
92241,21,Martin Krasser,O
92242,7,Martin Krasser,O
92243,29,Martin Krasser,O
92244,37,Martin Krasser,O
92245,11,Martin Krasser,O
92246,10,Martin Krasser,O
92247,21,Martin Krasser,O
92248,3,Martin Krasser,O
92249,2,Martin Krasser,O
92250,9,Martin Krasser,O
92251,10,Martin Krasser,O
92252,1,Martin Krasser,O
92253,5,Martin Krasser,O
92254,5,Martin Krasser,O
92255,2,Martin Krasser,O
92256,2,Martin Krasser,O
92257,1,Martin Krasser,O
92258,7,Martin Krasser,O
92259,1,Martin Krasser,O
92275,1,Endre Sándor Varga,O
92276,2,Endre Sándor Varga,O
92277,3,Endre Sándor Varga,O
92278,7,Endre Sándor Varga,O
92279,22,Endre Sándor Varga,O
92280,22,Endre Sándor Varga,O
92281,40,Endre Sándor Varga,O
92282,14,Endre Sándor Varga,O
92283,5,Endre Sándor Varga,O
92311,1,Irmo Manie,O
92312,36,Irmo Manie,O
92313,29,Irmo Manie,O
92314,10,Irmo Manie,O
92315,10,Irmo Manie,O
92316,3,Irmo Manie,O
92317,9,Irmo Manie,O
92318,11,Irmo Manie,O
92319,2,Irmo Manie,O
92326,68,Jonas Bonér,O
92327,17,Jonas Bonér,O
92328,24,Jonas Bonér,O
92329,67,Jonas Bonér,O
92330,56,Jonas Bonér,O
92331,116,Jonas Bonér,O
92332,54,Jonas Bonér,O
92333,54,Jonas Bonér,O
92334,42,Jonas Bonér,O
92335,22,Jonas Bonér,O
92336,29,Jonas Bonér,O
92337,32,Jonas Bonér,O
92338,19,Jonas Bonér,O
92339,2,Jonas Bonér,O
92340,3,Jonas Bonér,O
92341,48,Jonas Bonér,O
92342,52,Jonas Bonér,O
92343,42,Jonas Bonér,O
92344,25,Jonas Bonér,O
92349,89,Patrik Nordwall,O
92350,45,Patrik Nordwall,O
92351,2,Patrik Nordwall,O
92352,27,Patrik Nordwall,O
92353,9,Patrik Nordwall,O
92354,2,Patrik Nordwall,O
92355,8,Patrik Nordwall,O
92356,10,Patrik Nordwall,O
92359,9,Peter Veentjer,O
92360,47,Peter Veentjer,O
92361,34,Peter Veentjer,O
92367,2,Debasish Ghosh,O
92368,8,Debasish Ghosh,O
92369,4,Debasish Ghosh,O
92370,12,Debasish Ghosh,O
92371,1,Debasish Ghosh,O
92372,8,Debasish Ghosh,O
92373,1,Debasish Ghosh,O
92374,18,Debasish Ghosh,O
92375,2,Debasish Ghosh,O
92376,9,Debasish Ghosh,O
92377,2,Debasish Ghosh,O
92378,6,Debasish Ghosh,O
92379,1,Debasish Ghosh,O
92380,1,Debasish Ghosh,O
